Respondent,Q1,Q49,Q50,Q51,Q52,Q53,Q54,Q57,Q56,Q55,Q58,Q59,Q67,Q66,Q65,Q64,Q63,Q62,Q61,Q60,Q68,Q69,Q70,Q73,Q77,Q76,Q75,Q74,Q72,Q71,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98
1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1
2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1
3,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1
4,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1
5,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1
6,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,1
7,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,1
8,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1
9,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1
10,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1
11,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2
12,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1
13,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1
14,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2
15,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1
16,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1
17,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1
18,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1,2,1
19,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1
20,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1
